"Secuencial","SecuencialNivel","Codigo","Nombre","NumeroVerificador","Concurrencia","SecuencialDivisionPadre"
71762,102,"1803",TERRENO,0,2024-01-10 10:01:43.055,0
71772,102,"20",TEST,0,2024-02-05 15:20:19.475,0
68837,102,"1801",TERRENOS,3,2024-01-08 16:25:10.299,0
68838,102,"1802",EDIFICIOS,2,2024-01-08 16:32:28.228,0
68839,102,"1805",EQUIPOS MUEBLES Y ENSERES DE OFICINA,3,2023-04-11 11:53:30.863,0
68840,102,"1806",EQUIPOS DE COMPUTO,4,2023-04-11 11:53:30.863,0
68841,102,"1807",UNIDADES DE TRANSPORTES,7,2023-04-11 11:53:30.863,0
68842,102,"1890",OTROS,3,2023-04-11 11:53:30.863,0
69310,102,"190510V",GASTO DE INSTALACION CINCO PERIODOS,4,2023-04-11 11:53:30.889,0
69324,102,"190520IV",PROGRAMAS DE COMPUTACION CUATRO PERIODOS,3,2023-04-11 11:53:30.889,0
69330,102,"190525I",GASTOS DE ADECUACION UN PERIODO,5,2023-04-11 11:53:30.889,0
69333,102,"190525IV",GASTOS DE ADECUACION CUATRO PERIODOS,3,2023-04-11 11:53:30.889,0
69332,102,"190525III",GASTOS DE ADECUACION TRES PERIODOS,3,2023-04-11 11:53:30.890,0
69304,102,"190510III",GASTO DE INSTALACION TRES PERIODOS,6,2023-04-11 11:53:30.891,0
69350,102,"190490",OTROS GASTOS Y PAGOS ANTICIPADOS,7,2023-04-11 11:53:30.891,0
69334,102,"190525V",GASTOS DE ADECUACION CINCO PERIODOS,3,2023-04-11 11:53:30.891,0
69321,102,"190520III",PROGRAMAS DE COMPUTACION TRES PERIODOS,3,2023-04-11 11:53:30.891,0
69327,102,"190520V",PROGRAMAS DE COMPUTACION CINCO PERIODOS,3,2023-04-11 11:53:30.891,0
69331,102,"190525II",GASTOS DE ADECUACION DOS PERIODOS,3,2023-04-11 11:53:30.891,0
69313,102,"190520I",PROGRAMAS DE COMPUTACION UN PERIODO,6,2023-04-11 11:53:30.891,0
