"SecuencialDivision","SecuencialDivisionPadre","NumeroVerificador","Concurrencia"
68843,68837,1,2023-04-06 13:32:24.678
68849,68841,1,2023-04-06 13:32:24.678
68850,68842,1,2023-04-06 13:32:24.678
68848,68840,1,2023-04-06 13:32:24.678
68844,68838,1,2023-04-06 13:32:24.678
68845,68839,1,2023-04-06 13:32:24.678
68846,68839,1,2023-04-06 13:32:24.678
68847,68839,1,2023-04-06 13:32:24.678
68865,68844,1,2023-04-06 13:32:24.678
68866,68844,1,2023-04-06 13:32:24.678
68864,68844,1,2023-04-06 13:32:24.678
68863,68845,1,2023-04-06 13:32:24.678
68860,68845,1,2023-04-06 13:32:24.678
68876,68845,1,2023-04-06 13:32:24.678
68856,68845,1,2023-04-06 13:32:24.678
68858,68845,1,2023-04-06 13:32:24.678
68886,68845,1,2023-04-06 13:32:24.678
68852,68846,1,2023-04-06 13:32:24.678
68851,68846,1,2023-04-06 13:32:24.678
68853,68846,1,2023-04-06 13:32:24.678
68869,68846,1,2023-04-06 13:32:24.678
68862,68847,1,2023-04-06 13:32:24.678
68867,68846,1,2023-04-06 13:32:24.678
68872,68846,1,2023-04-06 13:32:24.678
68868,68846,1,2023-04-06 13:32:24.678
68879,68846,1,2023-04-06 13:32:24.678
68880,68846,1,2023-04-06 13:32:24.678
68878,68846,1,2023-04-06 13:32:24.678
68875,68846,1,2023-04-06 13:32:24.678
68855,68847,1,2023-04-06 13:32:24.678
68854,68847,1,2023-04-06 13:32:24.678
68883,68847,1,2023-04-06 13:32:24.678
68874,68847,1,2023-04-06 13:32:24.678
68877,68848,1,2023-04-06 13:32:24.678
68859,68848,1,2023-04-06 13:32:24.678
68871,68848,1,2023-04-06 13:32:24.678
68861,68848,1,2023-04-06 13:32:24.678
68884,68848,1,2023-04-06 13:32:24.678
68870,68848,1,2023-04-06 13:32:24.678
68885,68848,1,2023-04-06 13:32:24.678
68857,68849,1,2023-04-06 13:32:24.678
68873,68849,1,2023-04-06 13:32:24.678
68882,68850,1,2023-04-06 13:32:24.678
68881,68850,1,2023-04-06 13:32:24.678
69314,69313,1,2023-04-06 13:32:24.678
69315,69314,1,2023-04-06 13:32:24.678
69325,69324,1,2023-04-06 13:32:24.678
69326,69325,1,2023-04-06 13:32:24.678
69329,69328,1,2023-04-06 13:32:24.678
69335,69330,1,2023-04-06 13:32:24.678
69338,69337,1,2023-04-06 13:32:24.678
69339,69332,1,2023-04-06 13:32:24.678
69340,69339,1,2023-04-06 13:32:24.678
69341,69333,1,2023-04-06 13:32:24.678
69352,69351,1,2023-04-06 13:32:24.678
69299,69298,1,2023-04-06 13:32:24.678
69300,69299,1,2023-04-06 13:32:24.678
69309,69308,1,2023-04-06 13:32:24.678
69311,69310,1,2023-04-06 13:32:24.678
69312,69311,1,2023-04-06 13:32:24.678
69317,69316,1,2023-04-06 13:32:24.678
69319,69317,1,2023-04-06 13:32:24.678
69328,69327,1,2023-04-06 13:32:24.678
69322,69321,1,2023-04-06 13:32:24.678
69323,69322,1,2023-04-06 13:32:24.678
69303,69302,1,2023-04-06 13:32:24.678
69336,69335,1,2023-04-06 13:32:24.678
69342,69341,1,2023-04-06 13:32:24.678
69343,69334,1,2023-04-06 13:32:24.678
69344,69343,1,2023-04-06 13:32:24.678
69351,69350,1,2023-04-06 13:32:24.678
69348,69347,1,2023-04-06 13:32:24.678
69337,69331,1,2023-04-06 13:32:24.678
69349,69348,1,2023-04-06 13:32:24.678
69308,69307,1,2023-04-06 13:32:24.678
69305,69304,1,2023-04-06 13:32:24.678
69302,69301,1,2023-04-06 13:32:24.678
69306,69305,1,2023-04-06 13:32:24.678
